# Species	Genes	Alg.-Conn.	chengduensis_protein.faa	ludwigii_protein.faa	oligotrophicus_protein.faa	sichuanensis_protein.faa	soli_protein.faa
5	5	0.993	WP_032640062.1	WP_020884315.1	WP_059385257.1	WP_059385257.1	WP_014070002.1
5	5	0.993	WP_032641742.1	WP_014170886.1	WP_025760006.1	WP_025760006.1	WP_014071001.1
5	5	0.993	WP_032644290.1	WP_020882776.1	WP_155031888.1	WP_155031888.1	WP_014072421.1
5	5	0.993	WP_077064322.1	WP_020882790.1	WP_045285111.1	WP_045285111.1	WP_014069017.1
5	5	0.992	WP_032639025.1	WP_040016977.1	WP_155030880.1	WP_155030880.1	WP_014069438.1
5	5	0.992	WP_032639319.1	WP_020884797.1	WP_155030935.1	WP_155030935.1	WP_014069620.1
5	5	0.992	WP_032639597.1	WP_020884695.1	WP_024908995.1	WP_024908995.1	WP_014069747.1
5	5	0.992	WP_032639607.1	WP_020884692.1	WP_155030990.1	WP_155030990.1	WP_014069751.1
5	5	0.992	WP_032639899.1	WP_020884383.1	WP_155031046.1	WP_155031046.1	WP_014069921.1
5	5	0.992	WP_032642102.1	WP_088202977.1	WP_155031724.1	WP_155031724.1	WP_014071798.1
5	5	0.992	WP_032644294.1	WP_020883991.1	WP_155031886.1	WP_155031886.1	WP_014072417.1
5	5	0.992	WP_086379922.1	WP_088202979.1	WP_095452450.1	WP_095452450.1	WP_088201906.1
5	5	0.991	WP_032639721.1	WP_014169602.1	WP_047958288.1	WP_047958288.1	WP_014069816.1
5	5	0.991	WP_032641694.1	WP_040017964.1	WP_155031471.1	WP_155031471.1	WP_014070979.1
5	5	0.991	WP_032642404.1	WP_020883518.1	WP_155031792.1	WP_155031792.1	WP_014071968.1
5	5	0.991	WP_032642429.1	WP_014171852.1	WP_104556612.1	WP_104556612.1	WP_014071989.1
5	5	0.991	WP_032642532.1	WP_040017151.1	WP_155031913.1	WP_155031913.1	WP_014069800.1
5	5	0.991	WP_032643014.1	WP_014171344.1	WP_059386981.1	WP_059386981.1	WP_014071497.1
5	5	0.991	WP_032643947.1	WP_014168485.1	WP_155030660.1	WP_155030660.1	WP_014068745.1
5	5	0.991	WP_032644493.1	WP_014168148.1	WP_008502772.1	WP_008502772.1	WP_014068445.1
5	5	0.991	WP_032644579.1	WP_040018210.1	WP_155031826.1	WP_155031826.1	WP_014072119.1
5	5	0.991	WP_032644779.1	WP_040019219.1	WP_045285587.1	WP_045285587.1	WP_014072252.1
5	5	0.991	WP_072265689.1	WP_025203274.1	WP_024906571.1	WP_024906571.1	WP_074392699.1
5	5	0.99	WP_008502976.1	WP_032680279.1	WP_094918783.1	WP_094918783.1	WP_014071783.1
5	5	0.99	WP_032638324.1	WP_014168767.1	WP_025760275.1	WP_025760275.1	WP_014069025.1
5	5	0.99	WP_032638558.1	WP_014168914.1	WP_045286616.1	WP_045286616.1	WP_014069167.1
5	5	0.99	WP_032639726.1	WP_020884651.1	WP_045284977.1	WP_045284977.1	WP_014069818.1
5	5	0.99	WP_032639864.1	WP_014169687.1	WP_025757347.1	WP_025757347.1	WP_014069895.1
5	5	0.99	WP_032639919.1	WP_040017283.1	WP_155031053.1	WP_155031053.1	WP_014069926.1
5	5	0.99	WP_032640704.1	WP_040017565.1	WP_032647362.1	WP_032647362.1	WP_014070344.1
5	5	0.99	WP_032640813.1	WP_040017591.1	WP_025759141.1	WP_025759141.1	WP_014070423.1
5	5	0.99	WP_032641316.1	WP_014170649.1	WP_025756931.1	WP_025756931.1	WP_014070699.1
5	5	0.99	WP_032641721.1	WP_020883218.1	WP_025760017.1	WP_025760017.1	WP_014070992.1
5	5	0.99	WP_032642078.1	WP_014171645.1	WP_025758515.1	WP_025758515.1	WP_014071787.1
5	5	0.99	WP_032642378.1	WP_014171813.1	WP_059385405.1	WP_059385405.1	WP_014071949.1
5	5	0.99	WP_032642697.1	WP_020883645.1	WP_155031718.1	WP_155031718.1	WP_041162128.1
5	5	0.99	WP_032642992.1	WP_025203395.1	WP_155031623.1	WP_155031623.1	WP_014071485.1
5	5	0.99	WP_032643436.1	WP_025203510.1	WP_155031517.1	WP_155031517.1	WP_014071224.1
5	5	0.99	WP_032643596.1	WP_040018144.1	WP_045284582.1	WP_045284582.1	WP_014071322.1
5	5	0.99	WP_032644000.1	WP_040018582.1	WP_155030678.1	WP_155030678.1	WP_014068815.1
5	5	0.99	WP_032644050.1	WP_040018613.1	WP_059385864.1	WP_059385864.1	WP_014068882.1
5	5	0.99	WP_032644467.1	WP_014168116.1	WP_155030526.1	WP_155030526.1	WP_014068412.1
5	5	0.99	WP_032644478.1	WP_020882641.1	WP_025759171.1	WP_025759171.1	WP_014068425.1
5	5	0.99	WP_077064055.1	WP_040017075.1	WP_155030939.1	WP_155030939.1	WP_014069631.1
5	5	0.99	WP_167513863.1	WP_194373031.1	WP_162299945.1	WP_162299945.1	WP_162271211.1
5	5	0.989	WP_023312253.1	WP_040017798.1	WP_008500429.1	WP_008500429.1	WP_014070710.1
5	5	0.989	WP_032638409.1	WP_020885242.1	WP_155030759.1	WP_155030759.1	WP_041162001.1
5	5	0.989	WP_032638441.1	WP_014168835.1	WP_045285210.1	WP_045285210.1	WP_014069090.1
5	5	0.989	WP_032639195.1	WP_014169354.1	WP_045284513.1	WP_045284513.1	WP_014069554.1
5	5	0.989	WP_032639261.1	WP_025204554.1	WP_045284488.1	WP_045284488.1	WP_014069580.1
5	5	0.989	WP_032639548.1	WP_020884708.1	WP_155030986.1	WP_155030986.1	WP_014069726.1
5	5	0.989	WP_032639641.1	WP_014169556.1	WP_025755831.1	WP_025755831.1	WP_014069768.1
5	5	0.989	WP_032639730.1	WP_040017157.1	WP_155031004.1	WP_155031004.1	WP_014069820.1
5	5	0.989	WP_032639893.1	WP_025204385.1	WP_025757322.1	WP_025757322.1	WP_014069916.1
5	5	0.989	WP_032639991.1	WP_040017305.1	WP_155031068.1	WP_155031068.1	WP_014069967.1
5	5	0.989	WP_032641448.1	WP_040017835.1	WP_025759478.1	WP_025759478.1	WP_014070869.1
5	5	0.989	WP_032641627.1	WP_032680630.1	WP_045285624.1	WP_045285624.1	WP_014070929.1
5	5	0.989	WP_032641776.1	WP_020883196.1	WP_155031486.1	WP_155031486.1	WP_014071029.1
5	5	0.989	WP_032642632.1	WP_020883436.1	WP_095450103.1	WP_095450103.1	WP_014070635.1
5	5	0.989	WP_032643844.1	WP_020882919.1	WP_025759060.1	WP_025759060.1	WP_014068654.1
5	5	0.989	WP_032644268.1	WP_040018320.1	WP_048990817.1	WP_048990817.1	WP_014072441.1
5	5	0.989	WP_032644279.1	WP_040018316.1	WP_025756954.1	WP_025756954.1	WP_014072430.1
5	5	0.989	WP_032644643.1	WP_032680102.1	WP_025760406.1	WP_025760406.1	WP_014072236.1
5	5	0.989	WP_032644782.1	WP_020882876.1	WP_155031857.1	WP_155031857.1	WP_014072260.1
5	5	0.989	WP_077064027.1	WP_014170255.1	WP_025759136.1	WP_025759136.1	WP_014070427.1
5	5	0.989	WP_077064028.1	WP_020884023.1	WP_155031256.1	WP_155031256.1	WP_014070433.1
5	5	0.989	WP_077064058.1	WP_014169416.1	WP_155030932.1	WP_155030932.1	WP_014069612.1
5	5	0.989	WP_077064361.1	WP_014167973.1	WP_155030483.1	WP_155030483.1	WP_014068257.1
5	5	0.989	WP_077064529.1	WP_040016957.1	WP_025757225.1	WP_025757225.1	WP_014069407.1
5	5	0.989	WP_080500330.1	WP_040017276.1	WP_155031047.1	WP_155031047.1	WP_014069922.1
5	5	0.988	WP_032639132.1	WP_040017011.1	WP_155030901.1	WP_155030901.1	WP_014069497.1
5	5	0.988	WP_032639508.1	WP_040017109.1	WP_025755896.1	WP_025755896.1	WP_014069684.1
5	5	0.988	WP_032639537.1	WP_040017118.1	WP_155030982.1	WP_155030982.1	WP_014069720.1
5	5	0.988	WP_032639715.1	WP_014169599.1	WP_047958285.1	WP_047958285.1	WP_014069813.1
5	5	0.988	WP_032639803.1	WP_020884436.1	WP_155031016.1	WP_155031016.1	WP_014069858.1
5	5	0.988	WP_032640005.1	WP_014169785.1	WP_021241135.1	WP_021241135.1	WP_041162049.1
5	5	0.988	WP_032640849.1	WP_040017603.1	WP_155031262.1	WP_155031262.1	WP_014070446.1
5	5	0.988	WP_032640854.1	WP_040017605.1	WP_094917086.1	WP_094917086.1	WP_014070447.1
5	5	0.988	WP_032640983.1	WP_025203995.1	WP_059387019.1	WP_059387019.1	WP_014070505.1
5	5	0.988	WP_032641058.1	WP_020882353.1	WP_047958852.1	WP_047958852.1	WP_014070564.1
5	5	0.988	WP_032641366.1	WP_020883372.1	WP_025760331.1	WP_025760331.1	WP_014070727.1
5	5	0.988	WP_032641566.1	WP_040017927.1	WP_025759299.1	WP_025759299.1	WP_014070893.1
5	5	0.988	WP_032641587.1	WP_014170795.1	WP_059385179.1	WP_059385179.1	WP_014070907.1
5	5	0.988	WP_032641629.1	WP_040017954.1	WP_155031458.1	WP_155031458.1	WP_014070930.1
5	5	0.988	WP_032641678.1	WP_040017962.1	WP_025758708.1	WP_025758708.1	WP_014070963.1
5	5	0.988	WP_032641905.1	WP_020883163.1	WP_025757208.1	WP_025757208.1	WP_041162257.1
5	5	0.988	WP_032642039.1	WP_020883108.1	WP_025757137.1	WP_025757137.1	WP_014071160.1
5	5	0.988	WP_032642074.1	WP_014171641.1	WP_045285910.1	WP_045285910.1	WP_014071784.1
5	5	0.988	WP_032643099.1	WP_040018908.1	WP_025757070.1	WP_025757070.1	WP_014071552.1
5	5	0.988	WP_032643152.1	WP_020883792.1	WP_155031659.1	WP_155031659.1	WP_014071579.1
5	5	0.988	WP_032643237.1	WP_020883751.1	WP_155031675.1	WP_155031675.1	WP_014071641.1
5	5	0.988	WP_032643278.1	WP_040018862.1	WP_095441318.1	WP_095441318.1	WP_014071668.1
5	5	0.988	WP_032643606.1	WP_040018147.1	WP_025757693.1	WP_025757693.1	WP_014071330.1
5	5	0.988	WP_032643629.1	WP_025203461.1	WP_155031565.1	WP_155031565.1	WP_014071346.1
5	5	0.988	WP_032643662.1	WP_025203442.1	WP_059386025.1	WP_059386025.1	WP_014071389.1
5	5	0.988	WP_032643819.1	WP_014168326.1	WP_045284422.1	WP_045284422.1	WP_014068628.1
5	5	0.988	WP_032643846.1	WP_040018480.1	WP_155030608.1	WP_155030608.1	WP_014068656.1
5	5	0.988	WP_032643972.1	WP_014168511.1	WP_025757470.1	WP_025757470.1	WP_014068787.1
5	5	0.988	WP_032644128.1	WP_040018660.1	WP_155030711.1	WP_155030711.1	WP_014068964.1
5	5	0.988	WP_032644435.1	WP_040018400.1	WP_025758422.1	WP_025758422.1	WP_014068378.1
5	5	0.988	WP_032644587.1	WP_025202849.1	WP_094919398.1	WP_094919398.1	WP_014072136.1
5	5	0.988	WP_032644596.1	WP_014172025.1	WP_047959627.1	WP_047959627.1	WP_014072176.1
5	5	0.988	WP_032644653.1	WP_040018674.1	WP_047957515.1	WP_047957515.1	WP_014068470.1
5	5	0.988	WP_032644681.1	WP_032679136.1	WP_155031898.1	WP_155031898.1	WP_014072164.1
5	5	0.988	WP_032644816.1	WP_014172159.1	WP_025757584.1	WP_025757584.1	WP_014072299.1
5	5	0.988	WP_072001198.1	WP_025204495.1	WP_047959788.1	WP_047959788.1	WP_041162207.1
5	5	0.988	WP_077064026.1	WP_040017577.1	WP_155031242.1	WP_155031242.1	WP_014070387.1
5	5	0.988	WP_077064050.1	WP_040017110.1	WP_045284640.1	WP_045284640.1	WP_014069685.1
5	5	0.988	WP_077064412.1	WP_040018195.1	WP_095442055.1	WP_095442055.1	WP_014072095.1
5	5	0.988	WP_077064429.1	WP_040018310.1	WP_025759567.1	WP_025759567.1	WP_014072414.1
5	5	0.988	WP_077064448.1	WP_040018884.1	WP_155031670.1	WP_155031670.1	WP_014071612.1
5	5	0.988	WP_229267856.1	WP_025206449.1	WP_244956332.1	WP_244956332.1	WP_245551580.1
5	5	0.987	WP_006811999.1	WP_003862556.1	WP_006811999.1	WP_006811999.1	WP_014071807.1
5	5	0.987	WP_014882516.1	WP_025205437.1	WP_047957739.1	WP_047957739.1	WP_014068875.1
5	5	0.987	WP_032638376.1	WP_020885256.1	WP_008503245.1	WP_008503245.1	WP_014069039.1
5	5	0.987	WP_032638734.1	WP_020885035.1	WP_155030827.1	WP_155030827.1	WP_014069261.1
5	5	0.987	WP_032638863.1	WP_040016934.1	WP_155030852.1	WP_155030852.1	WP_014069339.1
5	5	0.987	WP_032638894.1	WP_014169155.1	WP_045286152.1	WP_045286152.1	WP_014069361.1
5	5	0.987	WP_032639005.1	WP_014169226.1	WP_014883084.1	WP_014883084.1	WP_014069431.1
5	5	0.987	WP_032639324.1	WP_040017074.1	WP_155030936.1	WP_155030936.1	WP_014069624.1
5	5	0.987	WP_032639345.1	WP_040017081.1	WP_021240853.1	WP_021240853.1	WP_014069636.1
5	5	0.987	WP_032639395.1	WP_020884746.1	WP_155030962.1	WP_155030962.1	WP_014069662.1
5	5	0.987	WP_032639948.1	WP_014169746.1	WP_155031057.1	WP_155031057.1	WP_014069942.1
5	5	0.987	WP_032640058.1	WP_020884317.1	WP_155031082.1	WP_155031082.1	WP_014070000.1
5	5	0.987	WP_032640189.1	WP_020884157.1	WP_059386556.1	WP_059386556.1	WP_014070275.1
5	5	0.987	WP_032640525.1	WP_020884292.1	WP_045284891.1	WP_045284891.1	WP_014070042.1
5	5	0.987	WP_032640937.1	WP_014170348.1	WP_045285954.1	WP_045285954.1	WP_014070480.1
5	5	0.987	WP_032641257.1	WP_014170612.1	WP_025756901.1	WP_025756901.1	WP_014070665.1
5	5	0.987	WP_032641296.1	WP_014170636.1	WP_025756921.1	WP_025756921.1	WP_014070686.1
5	5	0.987	WP_032641570.1	WP_014170783.1	WP_155031444.1	WP_155031444.1	WP_140418969.1
5	5	0.987	WP_032641672.1	WP_040017960.1	WP_155031466.1	WP_155031466.1	WP_014070960.1
5	5	0.987	WP_032641793.1	WP_014170917.1	WP_094919131.1	WP_094919131.1	WP_014071038.1
5	5	0.987	WP_032641829.1	WP_040018009.1	WP_155031500.1	WP_155031500.1	WP_014071061.1
5	5	0.987	WP_032641893.1	WP_020883169.1	WP_025756298.1	WP_025756298.1	WP_014071069.1
5	5	0.987	WP_032641931.1	WP_020883156.1	WP_025757196.1	WP_025757196.1	WP_014071089.1
5	5	0.987	WP_032642354.1	WP_040018746.1	WP_025756708.1	WP_025756708.1	WP_014071933.1
5	5	0.987	WP_032642356.1	WP_014171795.1	WP_025756707.1	WP_025756707.1	WP_014071934.1
5	5	0.987	WP_032642369.1	WP_014171807.1	WP_155031788.1	WP_155031788.1	WP_014071943.1
5	5	0.987	WP_032642967.1	WP_020883863.1	WP_155031619.1	WP_155031619.1	WP_014071474.1
5	5	0.987	WP_032643089.1	WP_040018910.1	WP_025757074.1	WP_025757074.1	WP_014071546.1
5	5	0.987	WP_032643198.1	WP_020883773.1	WP_059384968.1	WP_059384968.1	WP_014071605.1
5	5	0.987	WP_032643222.1	WP_040018879.1	WP_025757788.1	WP_025757788.1	WP_014071630.1
5	5	0.987	WP_032643259.1	WP_014171511.1	WP_028016949.1	WP_028016949.1	WP_014071651.1
5	5	0.987	WP_032643383.1	WP_040018837.1	WP_047959460.1	WP_047959460.1	WP_014071730.1
5	5	0.987	WP_032643474.1	WP_032678654.1	WP_047959181.1	WP_047959181.1	WP_014071244.1
5	5	0.987	WP_032643507.1	WP_040018097.1	WP_045286561.1	WP_045286561.1	WP_014071259.1
5	5	0.987	WP_032643562.1	WP_020883058.1	WP_025758933.1	WP_025758933.1	WP_014071301.1
5	5	0.987	WP_032643809.1	WP_025206255.1	WP_155030585.1	WP_155030585.1	WP_014068621.1
5	5	0.987	WP_032644095.1	WP_014168661.1	WP_025756783.1	WP_025756783.1	WP_014068931.1
5	5	0.987	WP_032644221.1	WP_040018349.1	WP_022646555.1	WP_022646555.1	WP_014068278.1
5	5	0.987	WP_032644364.1	WP_014168005.1	WP_155030489.1	WP_155030489.1	WP_014068295.1
5	5	0.987	WP_032644604.1	WP_014172052.1	WP_155031836.1	WP_155031836.1	WP_014072184.1
5	5	0.987	WP_032644719.1	WP_014168233.1	WP_025757861.1	WP_025757861.1	WP_014068538.1
5	5	0.987	WP_032644789.1	WP_020882880.1	WP_095442005.1	WP_095442005.1	WP_014072268.1
5	5	0.987	WP_045890489.1	WP_020884837.1	WP_047958146.1	WP_047958146.1	WP_014069557.1
5	5	0.987	WP_077064056.1	WP_020884791.1	WP_155030938.1	WP_155030938.1	WP_014069629.1
5	5	0.987	WP_077064224.1	WP_014171322.1	WP_155031621.1	WP_155031621.1	WP_014071478.1
5	5	0.987	WP_077064271.1	WP_020882647.1	WP_025759158.1	WP_025759158.1	WP_014068414.1
5	5	0.987	WP_077064580.1	WP_074176885.1	WP_141237249.1	WP_141237249.1	WP_074392857.1
5	5	0.986	WP_008500405.1	WP_014170688.1	WP_014832436.1	WP_014832436.1	WP_014070732.1
5	5	0.986	WP_014882629.1	WP_014168702.1	WP_008501909.1	WP_008501909.1	WP_014068970.1
5	5	0.986	WP_023334893.1	WP_003858696.1	WP_003858696.1	WP_003858696.1	WP_014069328.1
5	5	0.986	WP_032638392.1	WP_020885252.1	WP_155030753.1	WP_155030753.1	WP_014069063.1
5	5	0.986	WP_032638484.1	WP_020885208.1	WP_155030775.1	WP_155030775.1	WP_014069128.1
5	5	0.986	WP_032638506.1	WP_032681552.1	WP_059385605.1	WP_059385605.1	WP_014069136.1
5	5	0.986	WP_032638510.1	WP_020885201.1	WP_025756166.1	WP_025756166.1	WP_014069138.1
5	5	0.986	WP_032638876.1	WP_040016939.1	WP_025756354.1	WP_025756354.1	WP_014069349.1
5	5	0.986	WP_032638965.1	WP_040016959.1	WP_155030868.1	WP_155030868.1	WP_014069411.1
5	5	0.986	WP_032639163.1	WP_040017025.1	WP_023326990.1	WP_023326990.1	WP_014069521.1
5	5	0.986	WP_032639542.1	WP_014169507.1	WP_047958246.1	WP_047958246.1	WP_014069723.1
5	5	0.986	WP_032639674.1	WP_040017143.1	WP_155030999.1	WP_155030999.1	WP_014069790.1
5	5	0.986	WP_032639832.1	WP_040017243.1	WP_155031025.1	WP_155031025.1	WP_014069874.1
5	5	0.986	WP_032639970.1	WP_014169764.1	WP_088244181.1	WP_088244181.1	WP_041162047.1
5	5	0.986	WP_032640200.1	WP_040017462.1	WP_047958576.1	WP_047958576.1	WP_014070267.1
5	5	0.986	WP_032640222.1	WP_040017451.1	WP_045284367.1	WP_045284367.1	WP_014070253.1
5	5	0.986	WP_032640504.1	WP_040017347.1	WP_025758620.1	WP_025758620.1	WP_014070051.1
5	5	0.986	WP_032640847.1	WP_020884016.1	WP_155031261.1	WP_155031261.1	WP_014070445.1
5	5	0.986	WP_032641158.1	WP_040017756.1	WP_025756858.1	WP_025756858.1	WP_014070617.1
5	5	0.986	WP_032641196.1	WP_025203875.1	WP_025756873.1	WP_025756873.1	WP_014070632.1
5	5	0.986	WP_032641259.1	WP_040017774.1	WP_008500476.1	WP_008500476.1	WP_014070666.1
5	5	0.986	WP_032641261.1	WP_040017775.1	WP_104557091.1	WP_104557091.1	WP_014070667.1
5	5	0.986	WP_032641263.1	WP_020883414.1	WP_047958946.1	WP_047958946.1	WP_014070668.1
5	5	0.986	WP_032641382.1	WP_025203827.1	WP_025760171.1	WP_025760171.1	WP_014070742.1
5	5	0.986	WP_032641400.1	WP_014170713.1	WP_025759916.1	WP_025759916.1	WP_014070757.1
5	5	0.986	WP_032641765.1	WP_040017989.1	WP_025756256.1	WP_025756256.1	WP_014071016.1
5	5	0.986	WP_032641803.1	WP_040018001.1	WP_155031496.1	WP_155031496.1	WP_014071048.1
5	5	0.986	WP_032642122.1	WP_040018812.1	WP_155031727.1	WP_155031727.1	WP_014071809.1
5	5	0.986	WP_032642362.1	WP_040018745.1	WP_047959542.1	WP_047959542.1	WP_014071938.1
5	5	0.986	WP_032642390.1	WP_032679053.1	WP_045284740.1	WP_045284740.1	WP_014071959.1
5	5	0.986	WP_032643175.1	WP_040018888.1	WP_155031665.1	WP_155031665.1	WP_014071591.1
5	5	0.986	WP_032643355.1	WP_040018844.1	WP_155031690.1	WP_155031690.1	WP_014071713.1
5	5	0.986	WP_032643515.1	WP_020883077.1	WP_155031532.1	WP_155031532.1	WP_014071263.1
5	5	0.986	WP_032643544.1	WP_014171122.1	WP_045284558.1	WP_045284558.1	WP_014071290.1
5	5	0.986	WP_032643645.1	WP_025203450.1	WP_094918370.1	WP_094918370.1	WP_014071367.1
5	5	0.986	WP_032644040.1	WP_040018607.1	WP_155030689.1	WP_155030689.1	WP_014068871.1
5	5	0.986	WP_032644058.1	WP_014168620.1	WP_025756746.1	WP_025756746.1	WP_014068889.1
5	5	0.986	WP_032644138.1	WP_040018668.1	WP_025756824.1	WP_025756824.1	WP_014068980.1
5	5	0.986	WP_032644141.1	WP_014168718.1	WP_025756828.1	WP_025756828.1	WP_014068984.1
5	5	0.986	WP_032644229.1	WP_040018335.1	WP_155030486.1	WP_155030486.1	WP_014068265.1
5	5	0.986	WP_032644274.1	WP_020882765.1	WP_025756957.1	WP_025756957.1	WP_014072434.1
5	5	0.986	WP_032644362.1	WP_014172203.1	WP_025758821.1	WP_025758821.1	WP_014072353.1
5	5	0.986	WP_032644501.1	WP_014168160.1	WP_155030539.1	WP_155030539.1	WP_014068456.1
5	5	0.986	WP_032644563.1	WP_014171944.1	WP_025758086.1	WP_025758086.1	WP_014072098.1
5	5	0.986	WP_032644573.1	WP_040018204.1	WP_045285979.1	WP_045285979.1	WP_014072108.1
5	5	0.986	WP_032644629.1	WP_032679195.1	WP_025759444.1	WP_025759444.1	WP_014072215.1
5	5	0.986	WP_032644650.1	WP_020884557.1	WP_155031831.1	WP_155031831.1	WP_014072141.1
5	5	0.986	WP_032644707.1	WP_014168217.1	WP_025757841.1	WP_025757841.1	WP_014068523.1
5	5	0.986	WP_032644740.1	WP_040018698.1	WP_155030565.1	WP_155030565.1	WP_014068560.1
5	5	0.986	WP_077064115.1	WP_040016776.1	WP_155030756.1	WP_155030756.1	WP_014069070.1
5	5	0.986	WP_077064499.1	WP_014172167.1	WP_155031864.1	WP_155031864.1	WP_014072311.1
5	5	0.985	WP_008499753.1	WP_014171567.1	WP_021242076.1	WP_021242076.1	WP_014071696.1
5	5	0.985	WP_010436509.1	WP_014172016.1	WP_008500088.1	WP_008500088.1	WP_162271215.1
5	5	0.985	WP_023311020.1	WP_025204541.1	WP_025755985.1	WP_025755985.1	WP_014069616.1
5	5	0.985	WP_023616057.1	WP_032680550.1	WP_025757165.1	WP_025757165.1	WP_014071128.1
5	5	0.985	WP_029741541.1	WP_014171394.1	WP_008499607.1	WP_008499607.1	WP_014071548.1
5	5	0.985	WP_032638461.1	WP_020885221.1	WP_155030769.1	WP_155030769.1	WP_014069108.1
5	5	0.985	WP_032638467.1	WP_014168855.1	WP_047957876.1	WP_047957876.1	WP_014069111.1
5	5	0.985	WP_032638790.1	WP_020885017.1	WP_047958003.1	WP_047958003.1	WP_014069285.1
5	5	0.985	WP_032639013.1	WP_040016974.1	WP_025757251.1	WP_025757251.1	WP_014069433.1
5	5	0.985	WP_032639015.1	WP_014169229.1	WP_025757252.1	WP_025757252.1	WP_014069434.1
5	5	0.985	WP_032639075.1	WP_040016989.1	WP_155030889.1	WP_155030889.1	WP_014069468.1
5	5	0.985	WP_032639110.1	WP_020884889.1	WP_025756100.1	WP_025756100.1	WP_014069487.1
5	5	0.985	WP_032639544.1	WP_020884710.1	WP_155030984.1	WP_155030984.1	WP_014069724.1
5	5	0.985	WP_032640054.1	WP_014169810.1	WP_025758370.1	WP_025758370.1	WP_014069997.1
5	5	0.985	WP_032640066.1	WP_040017324.1	WP_104557705.1	WP_104557705.1	WP_014070004.1
5	5	0.985	WP_032640088.1	WP_020884305.1	WP_045284904.1	WP_045284904.1	WP_014070019.1
5	5	0.985	WP_032640269.1	WP_040017438.1	WP_155031153.1	WP_155031153.1	WP_014070235.1
5	5	0.985	WP_032640387.1	WP_014169934.1	WP_155031121.1	WP_155031121.1	WP_014070178.1
5	5	0.985	WP_032640874.1	WP_014170313.1	WP_025759495.1	WP_025759495.1	WP_014070459.1
5	5	0.985	WP_032640892.1	WP_020882472.1	WP_059387102.1	WP_059387102.1	WP_014070468.1
5	5	0.985	WP_032640955.1	WP_020882446.1	WP_095449148.1	WP_095449148.1	WP_014070486.1
5	5	0.985	WP_032641004.1	WP_020882388.1	WP_025756567.1	WP_025756567.1	WP_014070522.1
5	5	0.985	WP_032641056.1	WP_025203917.1	WP_095440473.1	WP_095440473.1	WP_014070562.1
5	5	0.985	WP_032641204.1	WP_020883435.1	WP_155031361.1	WP_155031361.1	WP_014070636.1
5	5	0.985	WP_032641465.1	WP_040017846.1	WP_155031404.1	WP_155031404.1	WP_014070879.1
5	5	0.985	WP_032641615.1	WP_040017950.1	WP_155031457.1	WP_155031457.1	WP_014070923.1
5	5	0.985	WP_032641674.1	WP_040017961.1	WP_155031467.1	WP_155031467.1	WP_014070961.1
5	5	0.985	WP_032641751.1	WP_014170891.1	WP_013097942.1	WP_013097942.1	WP_014071009.1
5	5	0.985	WP_032641770.1	WP_014170903.1	WP_014884561.1	WP_014884561.1	WP_014071024.1
5	5	0.985	WP_032641779.1	WP_014170909.1	WP_155031487.1	WP_155031487.1	WP_014071030.1
